source,target,feature,source_missing_pct,target_missing_pct,absolute_difference_pct
cleveland,hungary,age,0.0,0.0,0.0
cleveland,hungary,sex,0.0,0.0,0.0
cleveland,hungary,cp,0.0,0.0,0.0
cleveland,hungary,trestbps,0.0,0.3401360544217687,0.3401360544217687
cleveland,hungary,restecg,0.0,0.3401360544217687,0.3401360544217687
cleveland,hungary,thalach,0.0,0.3401360544217687,0.3401360544217687
cleveland,hungary,exang,0.0,0.3401360544217687,0.3401360544217687
cleveland,hungary,oldpeak,0.0,0.0,0.0
cleveland,switzerland,age,0.0,0.0,0.0
cleveland,switzerland,sex,0.0,0.0,0.0
cleveland,switzerland,cp,0.0,0.0,0.0
cleveland,switzerland,trestbps,0.0,1.6260162601626018,1.6260162601626018
cleveland,switzerland,restecg,0.0,0.8130081300813009,0.8130081300813009
cleveland,switzerland,thalach,0.0,0.8130081300813009,0.8130081300813009
cleveland,switzerland,exang,0.0,0.8130081300813009,0.8130081300813009
cleveland,switzerland,oldpeak,0.0,4.878048780487805,4.878048780487805
cleveland,va_long_beach,age,0.0,0.0,0.0
cleveland,va_long_beach,sex,0.0,0.0,0.0
cleveland,va_long_beach,cp,0.0,0.0,0.0
cleveland,va_long_beach,trestbps,0.0,28.499999999999996,28.499999999999996
cleveland,va_long_beach,restecg,0.0,0.0,0.0
cleveland,va_long_beach,thalach,0.0,26.5,26.5
cleveland,va_long_beach,exang,0.0,26.5,26.5
cleveland,va_long_beach,oldpeak,0.0,28.000000000000004,28.000000000000004
