source,target,seed,method,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,mcc,roc_auc,pr_auc,brier,tn,fp,fn,tp
cleveland,hungary,0,dual_head_source_only,0.8129251700680272,0.8043456443195505,0.7256637168141593,0.7735849056603774,0.8351063829787234,0.7488584474885844,0.600828374657758,0.8777097551184263,0.8293147032423551,0.13957372307777405,157,31,24,82
cleveland,hungary,0,dlar_lcl,0.8129251700680272,0.8043456443195505,0.7256637168141593,0.7735849056603774,0.8351063829787234,0.7488584474885844,0.600828374657758,0.8772079486150142,0.8289128594337892,0.13958918922532482,157,31,24,82
cleveland,switzerland,0,dual_head_source_only,0.7723577235772358,0.6456521739130434,0.9578947368421052,0.7913043478260869,0.5,0.8666666666666667,0.1713168427447863,0.7880434782608695,0.9823289604156208,0.15647099912166595,4,4,24,91
cleveland,switzerland,0,dlar_lcl,0.7560975609756098,0.6369565217391304,0.956989247311828,0.7739130434782608,0.5,0.8557692307692307,0.157291236117359,0.7847826086956522,0.9821041143930258,0.15980998952758438,4,4,26,89
cleveland,va_long_beach,0,dual_head_source_only,0.76,0.6777207527306224,0.8344370860927153,0.8456375838926175,0.5098039215686274,0.84,0.36021338644606976,0.7218712988551124,0.8708744874512337,0.18398231267929077,26,25,23,126
cleveland,va_long_beach,0,dlar_lcl,0.745,0.6676536386366627,0.831081081081081,0.825503355704698,0.5098039215686274,0.8282828282828283,0.33318747853724395,0.722266087643111,0.8703260164091657,0.18528362645296192,26,25,26,123
cleveland,hungary,1,dual_head_source_only,0.8027210884353742,0.7943095142513048,0.7105263157894737,0.7641509433962265,0.824468085106383,0.7363636363636363,0.5800660883709318,0.8629566439181052,0.8271524861455541,0.1464332491159439,155,33,25,81
cleveland,hungary,1,dlar_lcl,0.8027210884353742,0.7943095142513048,0.7105263157894737,0.7641509433962265,0.824468085106383,0.7363636363636363,0.5800660883709318,0.8623042954636693,0.8273481044368405,0.14531617973618646,155,33,25,81
cleveland,switzerland,1,dual_head_source_only,0.7560975609756098,0.5788043478260869,0.9473684210526315,0.782608695652174,0.375,0.8571428571428571,0.09269008282833588,0.7347826086956522,0.9773429007036403,0.18268610537052155,3,5,25,90
cleveland,switzerland,1,dlar_lcl,0.7398373983739838,0.5701086956521739,0.946236559139785,0.7652173913043478,0.375,0.8461538461538461,0.08051813277436236,0.7326086956521739,0.9770777287769112,0.1860587012370839,3,5,27,88
cleveland,va_long_beach,1,dual_head_source_only,0.73,0.6253454401894987,0.8064516129032258,0.8389261744966443,0.4117647058823529,0.8223684210526315,0.26166440711906813,0.7205553362284511,0.8814405236765197,0.18230926990509033,21,30,24,125
cleveland,va_long_beach,1,dlar_lcl,0.735,0.6351493617581261,0.8116883116883117,0.8389261744966443,0.43137254901960786,0.8250825082508251,0.27995159148933474,0.7210817212791157,0.8815784231010186,0.18324603294643232,22,29,24,125
cleveland,hungary,2,dual_head_source_only,0.8061224489795918,0.7846246487354476,0.7425742574257426,0.7075471698113207,0.8617021276595744,0.7246376811594203,0.575565851468973,0.8608490566037736,0.8062005406854877,0.14083264768123627,162,26,31,75
cleveland,hungary,2,dlar_lcl,0.8129251700680272,0.7899437976716178,0.7575757575757576,0.7075471698113207,0.8723404255319149,0.7317073170731707,0.5891702008792219,0.8602468887996789,0.8053674397726344,0.1403794976217368,164,24,31,75
cleveland,switzerland,2,dual_head_source_only,0.7073170731707317,0.6108695652173913,0.9540229885057471,0.7217391304347827,0.5,0.8217821782178217,0.1201781120283334,0.7445652173913044,0.9787073658603191,0.1867591142654419,4,4,32,83
cleveland,switzerland,2,dlar_lcl,0.7073170731707317,0.6108695652173913,0.9540229885057471,0.7217391304347827,0.5,0.8217821782178217,0.1201781120283334,0.741304347826087,0.9783282885613238,0.1913289751083032,4,4,32,83
cleveland,va_long_beach,2,dual_head_source_only,0.735,0.6480457954994079,0.82,0.825503355704698,0.47058823529411764,0.822742474916388,0.2980393888392014,0.733451769969733,0.8862829941860186,0.17628586292266846,24,27,26,123
cleveland,va_long_beach,2,dlar_lcl,0.725,0.6477826029740755,0.821917808219178,0.8053691275167785,0.49019607843137253,0.8135593220338984,0.2901738165395314,0.7342413475457298,0.8864768839309249,0.17754678589571468,25,26,29,120
cleveland,hungary,3,dual_head_source_only,0.8129251700680272,0.7961160176635889,0.7428571428571429,0.7358490566037735,0.8563829787234043,0.7393364928909952,0.5934692227604459,0.8614512244078681,0.8168268676870702,0.14452995359897614,161,27,28,78
cleveland,hungary,3,dlar_lcl,0.8095238095238095,0.7913990365315134,0.7403846153846154,0.7264150943396226,0.8563829787234043,0.7333333333333333,0.5852703111149331,0.8609995985547972,0.8166242190760155,0.1441008143332065,161,27,29,77
cleveland,switzerland,3,dual_head_source_only,0.6991869918699187,0.6065217391304347,0.9534883720930233,0.7130434782608696,0.5,0.8159203980099502,0.11455447782900419,0.7467391304347826,0.9783776467554138,0.17069503664970398,4,4,33,82
cleveland,switzerland,3,dlar_lcl,0.7073170731707317,0.6690217391304347,0.9647058823529412,0.7130434782608696,0.625,0.82,0.18041191408209392,0.7456521739130435,0.978290008603605,0.17298365164521617,5,3,33,82
cleveland,va_long_beach,3,dual_head_source_only,0.68,0.6304776944334781,0.8195488721804511,0.7315436241610739,0.5294117647058824,0.7730496453900709,0.2409801498572069,0.7159494670351362,0.8801461234005016,0.1869799792766571,27,24,40,109
cleveland,va_long_beach,3,dlar_lcl,0.68,0.6304776944334781,0.8195488721804511,0.7315436241610739,0.5294117647058824,0.7730496453900709,0.2409801498572069,0.716739044611133,0.8806847070099992,0.1879748279751147,27,24,40,109
cleveland,hungary,4,dual_head_source_only,0.8163265306122449,0.7946607788036932,0.76,0.7169811320754716,0.8723404255319149,0.7378640776699029,0.5972873547561555,0.8675732637494983,0.8187375835304529,0.14437469840049744,164,24,30,76
cleveland,hungary,4,dlar_lcl,0.8163265306122449,0.7946607788036932,0.76,0.7169811320754716,0.8723404255319149,0.7378640776699029,0.5972873547561555,0.8674227217984745,0.8181241871714741,0.14417447228549352,164,24,30,76
cleveland,switzerland,4,dual_head_source_only,0.6910569105691057,0.6603260869565217,0.963855421686747,0.6956521739130435,0.625,0.8080808080808081,0.1687947988766704,0.75,0.9791919201770631,0.17512278258800507,5,3,35,80
cleveland,switzerland,4,dlar_lcl,0.6829268292682927,0.6559782608695652,0.9634146341463414,0.6869565217391305,0.625,0.8020304568527918,0.1631883414420549,0.7489130434782608,0.979049368502081,0.176564148885997,5,3,36,79
cleveland,va_long_beach,4,dual_head_source_only,0.74,0.6707461508093171,0.8344827586206897,0.8120805369127517,0.5294117647058824,0.8231292517006803,0.33334488390234673,0.7395051980523754,0.8877718165183021,0.17534561455249786,27,24,28,121
cleveland,va_long_beach,4,dlar_lcl,0.735,0.6738386629819713,0.8380281690140845,0.7986577181208053,0.5490196078431373,0.8178694158075601,0.33396151462219986,0.7397683905777076,0.887669288186775,0.1762870454788247,28,23,30,119
cleveland,hungary,5,dual_head_source_only,0.7993197278911565,0.7793054997992774,0.7281553398058253,0.7075471698113207,0.851063829787234,0.7177033492822966,0.562219681024836,0.8500100361300683,0.8057623364428399,0.16235186159610748,160,28,31,75
cleveland,hungary,5,dlar_lcl,0.7993197278911565,0.7793054997992774,0.7281553398058253,0.7075471698113207,0.851063829787234,0.7177033492822966,0.562219681024836,0.8496587715776797,0.8056441432749747,0.16095710977611666,160,28,31,75
cleveland,switzerland,5,dual_head_source_only,0.7073170731707317,0.6108695652173913,0.9540229885057471,0.7217391304347827,0.5,0.8217821782178217,0.1201781120283334,0.7282608695652174,0.9764891595240046,0.16865380108356476,4,4,32,83
cleveland,switzerland,5,dlar_lcl,0.7073170731707317,0.6108695652173913,0.9540229885057471,0.7217391304347827,0.5,0.8217821782178217,0.1201781120283334,0.7293478260869566,0.9766271127578583,0.16936390604683021,4,4,32,83
